          10   1.76706028E-08   0.00000000      -17.8513641            -Infinity
          20   1.77471335E-08   0.00000000      -17.8470421            -Infinity
          30   3.39988553E-08   0.00000000      -17.1969395            -Infinity
          40   2.82055606E-08   0.00000000      -17.3837471            -Infinity
          50   4.54692390E-08   0.00000000      -16.9062290            -Infinity
          60   4.34512479E-08   0.00000000      -16.9516258            -Infinity
          70   4.50170781E-08   0.00000000      -16.9162235            -Infinity
          80   5.57195960E-08   0.00000000      -16.7029343            -Infinity
          90   4.97952151E-08   0.00000000      -16.8153477            -Infinity
         100   5.32580415E-08   0.00000000      -16.7481174            -Infinity
         110   6.31965023E-08   0.00000000      -16.5770168            -Infinity
         120   6.44052918E-08   0.00000000      -16.5580692            -Infinity
         130   6.03895245E-08   0.00000000      -16.6224499            -Infinity
         140   6.26837462E-08   0.00000000      -16.5851631            -Infinity
         150   6.82596522E-08   0.00000000      -16.4999466            -Infinity
         160   7.52651559E-08   0.00000000      -16.4022484            -Infinity
         170   7.39910675E-08   0.00000000      -16.4193211            -Infinity
         180   8.01614206E-08   0.00000000      -16.3392239            -Infinity
         190   6.84202561E-08   0.00000000      -16.4975967            -Infinity
         200   7.77803351E-08   4.00000019E-03  -16.3693771      -5.52146101    
         210   7.69481119E-08   0.00000000      -16.3801346            -Infinity
         220   8.50208863E-08   0.00000000      -16.2803688            -Infinity
         230   9.49392032E-08   0.00000000      -16.1700287            -Infinity
         240   8.32172304E-08   0.00000000      -16.3018112            -Infinity
         250   9.12203859E-08   0.00000000      -16.2099876            -Infinity
         260   9.10498557E-08   4.00000019E-03  -16.2118587      -5.52146101    
         270   1.00185460E-07   0.00000000      -16.1162434            -Infinity
         280   8.17274781E-08   0.00000000      -16.3198757            -Infinity
         290   7.98493716E-08   0.00000000      -16.3431244            -Infinity
         300   1.00692887E-07   3.99999972E-03  -16.1111908      -5.52146101    
         310   1.00910377E-07   0.00000000      -16.1090336            -Infinity
         320   9.65759028E-08   0.00000000      -16.1529369            -Infinity
         330   1.02885956E-07   4.00000066E-03  -16.0896454      -5.52146053    
         340   1.05718193E-07   0.00000000      -16.0624886            -Infinity
         350   1.04089530E-07   0.00000000      -16.0780144            -Infinity
         360   1.07191468E-07   3.99999879E-03  -16.0486488      -5.52146101    
         370   1.08845008E-07   0.00000000      -16.0333405            -Infinity
         380   1.12231405E-07   4.00000066E-03  -16.0027027      -5.52146053    
         390   1.09408830E-07   0.00000000      -16.0281734            -Infinity
         400   1.22804181E-07   3.99999879E-03  -15.9126749      -5.52146101    
         410   1.13522262E-07   0.00000000      -15.9912672            -Infinity
         420   1.22768185E-07   4.00000252E-03  -15.9129677      -5.52146006    
         430   1.06673916E-07   3.99999693E-03  -16.0534897      -5.52146149    
         440   1.20540989E-07   0.00000000      -15.9312763            -Infinity
         450   1.22690793E-07   4.00000066E-03  -15.9135981      -5.52146053    
         460   1.15480162E-07   4.00000066E-03  -15.9741669      -5.52146053    
